                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 993  | 4333  | 6E9  | 3E1 | RL  | FX  | trinlevapentasex                  | trinlevapentaseximal                | TLP  |
| 994  | 4334  | 6EE  | 3E2 | RM  | FY  | biheptunheptages                  | biheptunheptagesimal                | BIG  |
| 995  | 4335  | 6EX  | 3E3 | RN  | FZ  | pentunlevatrisex                  | pentunlevatriseximal                | PNL  |
| 996  | 4340  | 6X0  | 3E4 | RO  | Fa  | dozunbinpentoct                   | dozunbinpentoctal                   | DBT  |
| 997  | 4341  | 6X1  | 3E5 | RP  | Fb  | undozunbinpentoct                 | undozunbinpentoctal                 | UNDZ |
| 998  | 4342  | 6X2  | 3E6 | RQ  | Fc  | binhexunbinpentoct                | binhexunbinpentoctal                | BXB  |
| 999  | 4343  | 6X3  | 3E7 | RR  | Fd  | triennunnift                      | triennunniftimal                    | TNNN |
| 1000 | 4344  | 6X4  | 3E8 | RS  | Fe  | decacent                          | decacentesimal                      | DCS  |
| 1001 | 4345  | 6X5  | 3E9 | RT  | Ff  | bakerhepteleven                   | bakerheptelevenary                  | BTL  |
| 1002 | 4350  | 6X6  | 3EA | RU  | Fg  | hexunbinbinpentoct                | hexunbinbinpentoctal                | HEXB |
| 1003 | 4351  | 6X7  | 3EB | RV  | Fh  | malunbintetrasept                 | malunbintetraseptimal               | MBN  |
| 1004 | 4352  | 6X8  | 3EC | RW  | Fi  | tetrundecapentaquin               | tetrundecapentaquinary              | TEQ  |
| 1005 | 4353  | 6X9  | 3ED | RX  | Fj  | tripentunhexeleven                | tripentunhexelevenary               | TXV  |
| 1006 | 4354  | 6XE  | 3EE | RY  | Fk  | binbindecapentaquin               | binbindecapentaquinary              | BIQ  |
| 1007 | 4355  | 6XX  | 3EF | RZ  | Fl  | hentrihexasnuntetraker's dozen    | hentrihexasnuntetraker's dozenal    | HHK  |
| 1008 | 4400  | 700  | 3F0 | S0  | Fm  | tetraheptanift                    | tetraheptaniftimal                  | TETP |
| 1009 | 4401  | 701  | 3F1 | S1  | Fn  | untetraheptanift                  | untetraheptaniftimal                | URF  |
| 1010 | 4402  | 702  | 3F2 | S2  | Fo  | decuncent                         | decuncentesimal                     | DNS  |
| 1011 | 4403  | 703  | 3F3 | S3  | Fp  | trintessertrisept                 | trintessertriseptimal               | TRNT |
| 1012 | 4404  | 704  | 3F4 | S4  | Fq  | henbilevasnatetreleven            | henbilevasnatetrelevenary           | HLR  |
| 1013 | 4405  | 705  | 3F5 | S5  | Fr  | unhenbilevasnatetreleven          | unhenbilevasnatetrelevenary         | ULT  |
| 1014 | 4410  | 706  | 3F6 | S6  | Fs  | bakerhexaker's dozen              | bakerhexaker's dozenal              | BXK  |
| 1015 | 4411  | 707  | 3F7 | S7  | Ft  | hentetraheptasnapentasept         | hentetraheptasnapentaseptimal       | HNTT |
| 1016 | 4412  | 708  | 3F8 | S8  | Fu  | octunennabisept                   | octunennabiseptimal                 | OBS  |
| 1017 | 4413  | 709  | 3F9 | S9  | Fv  | ennunheptahex                     | ennunheptahex                       | EHH  |
| 1018 | 4414  | 70E  | 3FA | SA  | Fw  | bintetrunennabisept               | bintetrunennabiseptimal             | BRM  |
| 1019 | 4415  | 70X  | 3FB | SB  | Fx  | unbintetrunennabisept             | unbintetrunennabiseptimal           | USP  |
| 1020 | 4420  | 710  | 3FC | SC  | Fy  | icositrisubopt                    | icositrisuboptimal                  | ITR  |
| 1021 | 4421  | 711  | 3FD | SD  | Fz  | unicositrisubopt                  | unicositrisuboptimal                | UIP  |
| 1022 | 4422  | 712  | 3FE | SE  | F-  | biheptunoctonon                   | biheptunoctononary                  | BPC  |
| 1023 | 4423  | 713  | 3FF | SF  | F_  | henpentahexasnatrieleven          | henpentahexasnatrielevenary         | HSL  |
| 1024 | 4424  | 714  | 400 | SG  | G0  | tesseroctoct                      | tesseroctoctal                      | TCC  |
| 1025 | 4425  | 715  | 401 | SH  | G1  | pentapentunpentoct                | pentapentunpentoctal                | PPC  |
| 1026 | 4430  | 716  | 402 | SI  | G2  | hentrihexasnahexanon              | hentrihexasnahexanonary             | HENR |
| 1027 | 4431  | 717  | 403 | SJ  | G3  | bakerunhexaker's dozen            | bakerunhexaker's dozenal            | BAD  |
| 1028 | 4432  | 718  | 404 | SK  | G4  | tetruntesserhex                   | tetruntesserhex                     | TETT |
| 1029 | 4433  | 719  | 405 | SL  | G5  | triheptaheptasept                 | triheptaheptaseptimal               | TIHP |
| 1030 | 4434  | 71E  | 406 | SM  | G6  | decunhexasubopt                   | decunhexasuboptimal                 | DHX  |
| 1031 | 4435  | 71X  | 407 | SN  | G7  | undecunhexasubopt                 | undecunhexasuboptimal               | UCX  |
| 1032 | 4440  | 720  | 408 | SO  | G8  | tetrahexunhexasept                | tetrahexunhexaseptimal              | TERX |
| 1033 | 4441  | 721  | 409 | SP  | G9  | untetrahexunhexasept              | untetrahexunhexaseptimal            | UXX  |
| 1034 | 4442  | 722  | 40A | SQ  | GA  | bilevunbinbieleven                | bilevunbinbielevenary               | BLB  |
| 1035 | 4443  | 723  | 40B | SR  | GB  | henbilevasnapentanon              | henbilevasnapentanonary             | HVR  |
| 1036 | 4444  | 724  | 40C | SS  | GC  | tetraheptunnift                   | tetraheptunniftimal                 | TERP |
| 1037 | 4445  | 725  | 40D | ST  | GD  | malunhexages                      | malunhexagesimal                    | MNH  |
| 1038 | 4450  | 726  | 40E | SU  | GE  | hexuntetrunhexasept               | hexuntetrunhexaseptimal             | HEXT |
| 1039 | 4451  | 727  | 40F | SV  | GF  | unhexuntetrunhexasept             | unhexuntetrunhexaseptimal           | UXP  |
| 1040 | 4452  | 728  | 410 | SW  | GG  | icositetraker's dozen             | icositetraker's dozenal             | ICK  |
| 1041 | 4453  | 729  | 411 | SX  | GH  | trinbintetrunhexasept             | trinbintetrunhexaseptimal           | TBX  |
| 1042 | 4454  | 72E  | 412 | SY  | GI  | binicosibiker's dozen             | binicosibiker's dozenal             | BCK  |
| 1043 | 4455  | 72X  | 413 | SZ  | GJ  | heptuntetrunnift                  | heptuntetrunniftimal                | HFT  |
| 1044 | 4500  | 730  | 414 | T0  | GK  | hentetraheptasnanift              | hentetraheptasnaniftimal            | HHF  |
| 1045 | 4501  | 731  | 415 | T1  | GL  | hentrihexasnapenteleven           | hentrihexasnapentelevenary          | HTV  |
| 1046 | 4502  | 732  | 416 | T2  | GM  | bintrihexuntetrasept              | bintrihexuntetraseptimal            | BXT  |
| 1047 | 4503  | 733  | 417 | T3  | GN  | trindozuntetrasept                | trindozuntetraseptimal              | TZR  |
| 1048 | 4504  | 734  | 418 | T4  | GO  | octundecaker's dozen              | octundecaker's dozenal              | ODC  |
| 1049 | 4505  | 735  | 419 | T5  | GP  | unoctundecaker's dozen            | unoctundecaker's dozenal            | UOD  |
| 1050 | 4510  | 736  | 41A | T6  | GQ  | pentahexapentasept                | pentahexapentaseptimal              | PXP  |
| 1051 | 4511  | 737  | 41B | T7  | GR  | unpentahexapentasept              | unpentahexapentaseptimal            | UPX  |
| 1052 | 4512  | 738  | 41C | T8  | GS  | tetrunbindecaker's dozen          | tetrunbindecaker's dozenal          | TDK  |
| 1053 | 4513  | 739  | 41D | T9  | GT  | bakerennanon                      | bakerennanonary                     | BARN |
| 1054 | 4514  | 73E  | 41E | TA  | GU  | henpentahexasnabisubopt           | henpentahexasnabisuboptimal         | HENN |
| 1055 | 4515  | 73X  | 41F | TB  | GV  | pentundecatrisept                 | pentundecatriseptimal               | PDT  |
| 1056 | 4520  | 740  | 420 | TC  | GW  | tesserhexeleven                   | tesserhexelevenary                  | TLN  |
| 1057 | 4521  | 741  | 421 | TD  | GX  | heptundecatriquin                 | heptundecatriquinary                | HDT  |
| 1058 | 4522  | 742  | 422 | TE  | GY  | henbilevasnabinbieleven           | henbilevasnabinbielevenary          | HVB  |
| 1059 | 4523  | 743  | 423 | TF  | GZ  | trintesserbieleven                | trintesserbielevenary               | TBV  |
| 1060 | 4524  | 744  | 424 | TG  | Ga  | icosintetraker's dozen            | icosintetraker's dozenal            | INT  |
| 1061 | 4525  | 745  | 425 | TH  | Gb  | unicosintetraker's dozen          | unicosintetraker's dozenal          | UIK  |
| 1062 | 4530  | 746  | 426 | TI  | Gc  | trihexunbintetrasept              | trihexunbintetraseptimal            | TRIX |
| 1063 | 4531  | 747  | 427 | TJ  | Gd  | untrihexunbintetrasept            | untrihexunbintetraseptimal          | UTM  |
| 1064 | 4532  | 748  | 428 | TK  | Ge  | hentrihexasnaheptoct              | hentrihexasnaheptoctal              | HETR |
| 1065 | 4533  | 749  | 429 | TL  | Gf  | tripentunheptages                 | tripentunheptagesimal               | TIG  |
| 1066 | 4534  | 74E  | 42A | TM  | Gg  | bibakerunpentoct                  | bibakerunpentoctal                  | BIBK |
| 1067 | 4535  | 74X  | 42B | TN  | Gh  | levunoctodozen                    | levunoctodozenal                    | LCT  |
| 1068 | 4540  | 750  | 42C | TO  | Gi  | dozunocteleven                    | dozunoctelevenary                   | DZC  |
| 1069 | 4541  | 751  | 42D | TP  | Gj  | undozunocteleven                  | undozunoctelevenary                 | UDL  |
| 1070 | 4542  | 752  | 42E | TQ  | Gk  | decunbintetraker's dozen          | decunbintetraker's dozenal          | DNR  |
| 1071 | 4543  | 753  | 42F | TR  | Gl  | malheptanon                       | malheptanonary                      | MHN  |
| 1072 | 4544  | 754  | 430 | TS  | Gm  | tesserunhexeleven                 | tesserunhexelevenary                | TVN  |
| 1073 | 4545  | 755  | 431 | TT  | Gn  | hentetraheptasnunnift             | hentetraheptasnunniftimal           | HSF  |
| 1074 | 4550  | 756  | 432 | TU  | Go  | hexunbinocteleven                 | hexunbinoctelevenary                | HXV  |
| 1075 | 4551  | 757  | 433 | TV  | Gp  | pentapentunhexasept               | pentapentunhexaseptimal             | PPH  |
| 1076 | 4552  | 758  | 434 | TW  | Gq  | tetruntetrunhexeleven             | tetruntetrunhexelevenary            | TLR  |
| 1077 | 4553  | 759  | 435 | TX  | Gr  | trinbinbinocteleven               | trinbinbinoctelevenary              | TCL  |
| 1078 | 4554  | 75E  | 436 | TY  | Gs  | bilevaheptasept                   | bilevaheptaseptimal                 | BVP  |
| 1079 | 4555  | 75X  | 437 | TZ  | Gt  | bakerunbinpentoct                 | bakerunbinpentoctal                 | BKRN |
| 1080 | 5000  | 760  | 438 | U0  | Gu  | pentahexanift                     | pentahexaniftimal                   | PHN  |
| 1081 | 5001  | 761  | 439 | U1  | Gv  | henbilevasnunbinbieleven          | henbilevasnunbinbielevenary         | HLL  |
| 1082 | 5002  | 762  | 43A | U2  | Gw  | binicositrinon                    | binicositrinonary                   | BINC |
| 1083 | 5003  | 763  | 43B | U3  | Gx  | hentrihexasnatrintrisex           | hentrihexasnatrintriseximal         | HNTR |
| 1084 | 5004  | 764  | 43C | U4  | Gy  | tetrundecatrinon                  | tetrundecatrinonary                 | TETD |
| 1085 | 5005  | 765  | 43D | U5  | Gz  | henpentahexasnapentasept          | henpentahexasnapentaseptimal        | HEPN |
| 1086 | 5010  | 766  | 43E | U6  | G-  | hexunennaviges                    | hexunennavigesimal                  | HXG  |
| 1087 | 5011  | 767  | 43F | U7  | G_  | unhexunennaviges                  | unhexunennavigesimal                | UXV  |
| 1088 | 5012  | 768  | 440 | U8  | H0  | maloctoct                         | maloctoctal                         | MAC  |
| 1089 | 5013  | 769  | 441 | U9  | H1  | levenneleven                      | levennelevenary                     | LNL  |
| 1090 | 5014  | 76E  | 442 | UA  | H2  | decunennadozen                    | decunennadozenal                    | DND  |
| 1091 | 5015  | 76X  | 443 | UB  | H3  | undecunennadozen                  | undecunennadozenal                  | UCD  |
| 1092 | 5020  | 770  | 444 | UC  | H4  | bakerheptadozen                   | bakerheptadozenal                   | BKD  |
| 1093 | 5021  | 771  | 445 | UD  | H5  | unbakerheptadozen                 | unbakerheptadozenal                 | UKD  |
| 1094 | 5022  | 772  | 446 | UE  | H6  | binbakerhexasept                  | binbakerhexaseptimal                | BXP  |
| 1095 | 5023  | 773  | 447 | UF  | H7  | tripentunoctonon                  | tripentunoctononary                 | TRPN |
| 1096 | 5024  | 774  | 448 | UG  | H8  | octunoctosubopt                   | octunoctosuboptimal                 | OSB  |
| 1097 | 5025  | 775  | 449 | UH  | H9  | unoctunoctosubopt                 | unoctunoctosuboptimal               | UOS  |
| 1098 | 5030  | 776  | 44A | UI  | HA  | trihexunhexages                   | trihexunhexagesimal                 | THG  |
| 1099 | 5031  | 777  | 44B | UJ  | HB  | heptundozaker's dozen             | heptundozaker's dozenal             | HPZ  |
| 1100 | 5032  | 778  | 44C | UK  | HC  | levacent                          | levacentesimal                      | LCN  |
| 1101 | 5033  | 779  | 44D | UL  | HD  | trinhexunhexages                  | trinhexunhexagesimal                | TNG  |
| 1102 | 5034  | 77E  | 44E | UM  | HE  | hentetraheptasnabintrisex         | hentetraheptasnabintriseximal       | HBX  |
| 1103 | 5035  | 77X  | 44F | UN  | HF  | unhentetraheptasnabintrisex       | unhentetraheptasnabintriseximal     | UHM  |
| 1104 | 5040  | 780  | 450 | UO  | HG  | henbilevasnahexoct                | henbilevasnahexoctal                | HVH  |
| 1105 | 5041  | 781  | 451 | UP  | HH  | malpentaker's dozen               | malpentaker's dozenal               | MPK  |
| 1106 | 5042  | 782  | 452 | UQ  | HI  | biheptunhexaker's dozen           | biheptunhexaker's dozenal           | BHD  |
| 1107 | 5043  | 783  | 453 | UR  | HJ  | triennunpentoct                   | triennunpentoctal                   | TRNP |
| 1108 | 5044  | 784  | 454 | US  | HK  | tetrundozunbieleven               | tetrundozunbielevenary              | TDB  |
| 1109 | 5045  | 785  | 455 | UT  | HL  | untetrundozunbieleven             | untetrundozunbielevenary            | URD  |
| 1110 | 5050  | 786  | 456 | UU  | HM  | pentahexunnift                    | pentahexunniftimal                  | PXN  |
| 1111 | 5051  | 787  | 457 | UV  | HN  | levuncent                         | levuncentesimal                     | LNS  |
| 1112 | 5052  | 788  | 458 | UW  | HO  | octunhexunbieleven                | octunhexunbielevenary               | OHX  |
| 1113 | 5053  | 789  | 459 | UX  | HP  | triheptuntetraker's dozen         | triheptuntetraker's dozenal         | TPK  |
| 1114 | 5054  | 78E  | 45A | UY  | HQ  | bintetrunhexunbieleven            | bintetrunhexunbielevenary           | BTV  |
| 1115 | 5055  | 78X  | 45B | UZ  | HR  | pentunhexunnift                   | pentunhexunniftimal                 | PTF  |
| 1116 | 5100  | 790  | 45C | V0  | HS  | henpentahexasnanift               | henpentahexasnaniftimal             | HFM  |
| 1117 | 5101  | 791  | 45D | V1  | HT  | unhenpentahexasnanift             | unhenpentahexasnaniftimal           | UHF  |
| 1118 | 5102  | 792  | 45E | V2  | HU  | bibakerunhexasept                 | bibakerunhexaseptimal               | BKM  |
| 1119 | 5103  | 793  | 45F | V3  | HV  | trindozunpentasex                 | trindozunpentaseximal               | TZP  |
| 1120 | 5104  | 794  | 460 | V4  | HW  | icosiheptoct                      | icosiheptoctal                      | ISP  |
| 1121 | 5105  | 795  | 461 | V5  | HX  | hentrihexasnunbintetrasept        | hentrihexasnunbintetraseptimal      | HENH |
| 1122 | 5110  | 796  | 462 | V6  | HY  | malhexeleven                      | malhexelevenary                     | MHX  |
| 1123 | 5111  | 797  | 463 | V7  | HZ  | unmalhexeleven                    | unmalhexelevenary                   | UMX  |
| 1124 | 5112  | 798  | 464 | V8  | Ha  | tetrunbiheptaviges                | tetrunbiheptavigesimal              | TTG  |
| 1125 | 5113  | 799  | 465 | V9  | Hb  | pentapentapentanon                | pentapentapentanonary               | PENT |
| 1126 | 5114  | 79E  | 466 | VA  | Hc  | binbinbiheptaviges                | binbinbiheptavigesimal              | BHV  |
| 1127 | 5115  | 79X  | 467 | VB  | Hd  | henbilevasnaheptasept             | henbilevasnaheptaseptimal           | HLM  |
| 1128 | 5120  | 7E0  | 468 | VC  | He  | tetrahexunbinbieleven             | tetrahexunbinbielevenary            | TVR  |
| 1129 | 5121  | 7E1  | 469 | VD  | Hf  | untetrahexunbinbieleven           | untetrahexunbinbielevenary          | URL  |
| 1130 | 5122  | 7E2  | 46A | VE  | Hg  | decunheptahex                     | decunheptahex                       | DHH  |
| 1131 | 5123  | 7E3  | 46B | VF  | Hh  | hentetraheptasnatriker's dozen    | hentetraheptasnatriker's dozenal    | HSK  |
| 1132 | 5124  | 7E4  | 46C | VG  | Hi  | tetrunhexunbinbieleven            | tetrunhexunbinbielevenary           | TENH |
| 1133 | 5125  | 7E5  | 46D | VH  | Hj  | levunhexasubopt                   | levunhexasuboptimal                 | LHS  |
| 1134 | 5130  | 7E6  | 46E | VI  | Hk  | triennahexasept                   | triennahexaseptimal                 | TRNH |
| 1135 | 5131  | 7E7  | 46F | VJ  | Hl  | pentunbinheptahex                 | pentunbinheptahex                   | PBH  |
| 1136 | 5132  | 7E8  | 470 | VK  | Hm  | tesserunheptages                  | tesserunheptagesimal                | TSG  |
| 1137 | 5133  | 7E9  | 471 | VL  | Hn  | trinennahexasept                  | trinennahexaseptimal                | TINH |
| 1138 | 5134  | 7EE  | 472 | VM  | Ho  | binoctunheptages                  | binoctunheptagesimal                | BNG  |
| 1139 | 5135  | 7EX  | 473 | VN  | Hp  | malunhexeleven                    | malunhexelevenary                   | MNX  |
| 1140 | 5140  | 7X0  | 474 | VO  | Hq  | icositrintrisex                   | icositrintriseximal                 | ITN  |
| 1141 | 5141  | 7X1  | 475 | VP  | Hr  | heptunennatrisex                  | heptunennatriseximal                | HETN |
| 1142 | 5142  | 7X2  | 476 | VQ  | Hs  | binhentrihexasnapentasex          | binhentrihexasnapentaseximal        | BXX  |
| 1143 | 5143  | 7X3  | 477 | VR  | Ht  | ennunennabisept                   | ennunennabiseptimal                 | EBS  |
| 1144 | 5144  | 7X4  | 478 | VS  | Hu  | bakerocteleven                    | bakeroctelevenary                   | BCL  |
| 1145 | 5145  | 7X5  | 479 | VT  | Hv  | pentundozuntrisex                 | pentundozuntriseximal               | PTZ  |
| 1146 | 5150  | 7X6  | 47A | VU  | Hw  | hexundecuntrisex                  | hexundecuntriseximal                | HDN  |
| 1147 | 5151  | 7X7  | 47B | VV  | Hx  | henpentahexasnunnift              | henpentahexasnunniftimal            | HNPN |
| 1148 | 5152  | 7X8  | 47C | VW  | Hy  | tetraheptunpentoct                | tetraheptunpentoctal                | TTRP |
| 1149 | 5153  | 7X9  | 47D | VX  | Hz  | trinbindecuntrisex                | trinbindecuntriseximal              | TCX  |
| 1150 | 5154  | 7XE  | 47E | VY  | H-  | henbilevasnapentages              | henbilevasnapentagesimal            | HBG  |
| 1151 | 5155  | 7XX  | 47F | VZ  | H_  | unhenbilevasnapentages            | unhenbilevasnapentagesimal          | UVP  |
| 1152 | 5200  | 800  | 480 | W0  | I0  | tetroctonift                      | tetroctoniftimal                    | TCF  |
| 1153 | 5201  | 801  | 481 | W1  | I1  | untetroctonift                    | untetroctoniftimal                  | UCF  |
| 1154 | 5202  | 802  | 482 | W2  | I2  | bintessernift                     | bintesserniftimal                   | BTF  |
| 1155 | 5203  | 803  | 483 | W3  | I3  | trilevapentasept                  | trilevapentaseptimal                | TVP  |
| 1156 | 5204  | 804  | 484 | W4  | I4  | maltetrasubopt                    | maltetrasuboptimal                  | MTS  |
| 1157 | 5205  | 805  | 485 | W5  | I5  | bakerunocteleven                  | bakerunoctelevenary                 | BKV  |
| 1158 | 5210  | 806  | 486 | W6  | I6  | hexundozahex                      | hexundozahex                        | HXZ  |
| 1159 | 5211  | 807  | 487 | W7  | I7  | hentrihexasnunhexages             | hentrihexasnunhexagesimal           | HRG  |
| 1160 | 5212  | 808  | 488 | W8  | I8  | hentetraheptasnapentoct           | hentetraheptasnapentoctal           | HTTR |
| 1161 | 5213  | 809  | 489 | W9  | I9  | triennunhexasept                  | triennunhexaseptimal                | TNNH |
| 1162 | 5214  | 80E  | 48A | WA  | IA  | biheptunbinpentoct                | biheptunbinpentoctal                | BIHP |
| 1163 | 5215  | 80X  | 48B | WB  | IB  | unbiheptunbinpentoct              | unbiheptunbinpentoctal              | UNBH |
| 1164 | 5220  | 810  | 48C | WC  | IC  | dozunoctodozen                    | dozunoctodozenal                    | DZD  |
| 1165 | 5221  | 811  | 48D | WD  | ID  | pentunoctuntetrasept              | pentunoctuntetraseptimal            | PCR  |
| 1166 | 5222  | 812  | 48E | WE  | IE  | bilevuntetraker's dozen           | bilevuntetraker's dozenal           | BLT  |
| 1167 | 5223  | 813  | 48F | WF  | IF  | trintetrunoctodozen               | trintetrunoctodozenal               | TCD  |
| 1168 | 5224  | 814  | 490 | WG  | IG  | tesserunoctonon                   | tesserunoctononary                  | TESN |
| 1169 | 5225  | 815  | 491 | WH  | IH  | heptunbinbinpentoct               | heptunbinbinpentoctal               | HPTN |
| 1170 | 5230  | 816  | 492 | WI  | II  | bakerennages                      | bakerennagesimal                    | BGS  |
| 1171 | 5231  | 817  | 493 | WJ  | IJ  | unbakerennages                    | unbakerennagesimal                  | UBG  |
| 1172 | 5232  | 818  | 494 | WK  | IK  | tetruntetrunoctonon               | tetruntetrunoctononary              | TERT |
| 1173 | 5233  | 819  | 495 | WL  | IL  | henbilevasnatrisubopt             | henbilevasnatrisuboptimal           | HVM  |
| 1174 | 5234  | 81E  | 496 | WM  | IM  | binbintetrunoctonon               | binbintetrunoctononary              | BINB |
| 1175 | 5235  | 81X  | 497 | WN  | IN  | pentapentunbinbieleven            | pentapentunbinbielevenary           | PPB  |
| 1176 | 5240  | 820  | 498 | WO  | IO  | tetraheptahexasept                | tetraheptahexaseptimal              | TEHP |
| 1177 | 5241  | 821  | 499 | WP  | IP  | levunbintetraker's dozen          | levunbintetraker's dozenal          | LBT  |
| 1178 | 5242  | 822  | 49A | WQ  | IQ  | henpentahexasnabintrisex          | henpentahexasnabintriseximal        | HNPT |
| 1179 | 5243  | 823  | 49B | WR  | IR  | ennundecaker's dozen              | ennundecaker's dozenal              | EDC  |
| 1180 | 5244  | 824  | 49C | WS  | IS  | icosinbintetrasept                | icosinbintetraseptimal              | IBN  |
| 1181 | 5245  | 825  | 49D | WT  | IT  | unicosinbintetrasept              | unicosinbintetraseptimal            | UIM  |
| 1182 | 5250  | 826  | 49E | WU  | IU  | hexunheptatetrasept               | hexunheptatetraseptimal             | HEXH |
| 1183 | 5251  | 827  | 49F | WV  | IV  | bakerheptaker's dozen             | bakerheptaker's dozenal             | BRD  |
| 1184 | 5252  | 828  | 4A0 | WW  | IW  | tetroctunnift                     | tetroctunniftimal                   | TETC |
| 1185 | 5253  | 829  | 4A1 | WX  | IX  | tripentunhexaker's dozen          | tripentunhexaker's dozenal          | TKS  |
| 1186 | 5254  | 82E  | 4A2 | WY  | IY  | bintesserunnift                   | bintesserunniftimal                 | BSF  |
| 1187 | 5255  | 82X  | 4A3 | WZ  | IZ  | unbintesserunnift                 | unbintesserunniftimal               | UBF  |
| 1188 | 5300  | 830  | 4A4 | X0  | Ia  | trilevanift                       | trilevaniftimal                     | TLF  |
| 1189 | 5301  | 831  | 4A5 | X1  | Ib  | hentetraheptasnunpentoct          | hentetraheptasnunpentoctal          | HETH |
| 1190 | 5302  | 832  | 4A6 | X2  | Ic  | malheptages                       | malheptagesimal                     | MLG  |
| 1191 | 5303  | 833  | 4A7 | X3  | Id  | trinlevanift                      | trinlevaniftimal                    | TVF  |
| 1192 | 5304  | 834  | 4A8 | X4  | Ie  | octuntetrunnift                   | octuntetrunniftimal                 | OCR  |
| 1193 | 5305  | 835  | 4A9 | X5  | If  | unoctuntetrunnift                 | unoctuntetrunniftimal               | UOR  |
| 1194 | 5310  | 836  | 4AA | X6  | Ig  | hexunlevatrisex                   | hexunlevatriseximal                 | HLX  |
| 1195 | 5311  | 837  | 4AB | X7  | Ih  | pentunbiheptasubopt               | pentunbiheptasuboptimal             | PBP  |
| 1196 | 5312  | 838  | 4AC | X8  | Ii  | henbilevasnatetraker's dozen      | henbilevasnatetraker's dozenal      | HBK  |
| 1197 | 5313  | 839  | 4AD | X9  | Ij  | hentrihexasnaheptanon             | hentrihexasnaheptanonary            | HNTH |
| 1198 | 5314  | 83E  | 4AE | XA  | Ik  | binhenbilevasnabiker's dozen      | binhenbilevasnabiker's dozenal      | BLS  |
| 1199 | 5315  | 83X  | 4AF | XB  | Il  | levunennadozen                    | levunennadozenal                    | LVD  |
| 1200 | 5320  | 840  | 4B0 | XC  | Im  | dozacent                          | dozacentesimal                      | DZS  |
| 1201 | 5321  | 841  | 4B1 | XD  | In  | undozacent                        | undozacentesimal                    | UZS  |
| 1202 | 5322  | 842  | 4B2 | XE  | Io  | binhexacent                       | binhexacentesimal                   | BXC  |
| 1203 | 5323  | 843  | 4B3 | XF  | Ip  | trinicosiviges                    | trinicosivigesimal                  | TCV  |
| 1204 | 5324  | 844  | 4B4 | XG  | Iq  | tetraheptunhexasept               | tetraheptunhexaseptimal             | TTHP |
| 1205 | 5325  | 845  | 4B5 | XH  | Ir  | pentundozaviges                   | pentundozavigesimal                 | PDZ  |
| 1206 | 5330  | 846  | 4B6 | XI  | Is  | trihexunhexeleven                 | trihexunhexelevenary                | TRHX |
| 1207 | 5331  | 847  | 4B7 | XJ  | It  | malunheptages                     | malunheptagesimal                   | MNG  |
| 1208 | 5332  | 848  | 4B8 | XK  | Iu  | octundecatriquin                  | octundecatriquinary                 | ODT  |
| 1209 | 5333  | 849  | 4B9 | XL  | Iv  | henpentahexasnatriker's dozen     | henpentahexasnatriker's dozenal     | HKR  |
| 1210 | 5334  | 84E  | 4BA | XM  | Iw  | levadeceleven                     | levadecelevenary                    | LDC  |
| 1211 | 5335  | 84X  | 4BB | XN  | Ix  | heptuntetrunhexasept              | heptuntetrunhexaseptimal            | HPTT |
| 1212 | 5340  | 850  | 4BC | XO  | Iy  | dozuncent                         | dozuncentesimal                     | DTS  |
| 1213 | 5341  | 851  | 4BD | XP  | Iz  | undozuncent                       | undozuncentesimal                   | UDM  |
| 1214 | 5342  | 852  | 4BE | XQ  | I-  | binhexuncent                      | binhexuncentesimal                  | BHM  |
| 1215 | 5343  | 853  | 4BF | XR  | I_  | triennapentanon                   | triennapentanonary                  | TINP |
| 1216 | 5344  | 854  | 4C0 | XS  | J0  | hentrihexasnoctoct                | hentrihexasnoctoctal                | HCC  |
| 1217 | 5345  | 855  | 4C1 | XT  | J1  | unhentrihexasnoctoct              | unhentrihexasnoctoctal              | UNHN |
| 1218 | 5350  | 856  | 4C2 | XU  | J2  | hentetraheptasnahexasept          | hentetraheptasnahexaseptimal        | HTTH |
| 1219 | 5351  | 857  | 4C3 | XV  | J3  | henbilevasnuntetraker's dozen     | henbilevasnuntetraker's dozenal     | HLK  |
| 1220 | 5352  | 858  | 4C4 | XW  | J4  | icosinhexages                     | icosinhexagesimal                   | INH  |
| 1221 | 5353  | 859  | 4C5 | XX  | J5  | trilevunnift                      | trilevunniftimal                    | TLT  |
| 1222 | 5354  | 85E  | 4C6 | XY  | J6  | bibakerunbinbieleven              | bibakerunbinbielevenary             | BRV  |
| 1223 | 5355  | 85X  | 4C7 | XZ  | J7  | unbibakerunbinbieleven            | unbibakerunbinbielevenary           | UKB  |
| 1224 | 5400  | 860  | 4C8 | Y0  | J8  | bimalnift                         | bimalniftimal                       | BMN  |
| 1225 | 5401  | 861  | 4C9 | Y1  | J9  | pentaheptapentasept               | pentaheptapentaseptimal             | PHS  |
| 1226 | 5402  | 862  | 4CA | Y2  | JA  | binmalnift                        | binmalniftimal                      | BMF  |
| 1227 | 5403  | 863  | 4CB | Y3  | JB  | trinmaltetrasex                   | trinmaltetraseximal                 | TMT  |
| 1228 | 5404  | 864  | 4CC | Y4  | JC  | tetrunmaltrisex                   | tetrunmaltriseximal                 | TMR  |
