                                                        Base Names                                                        
+------------------------------------------------------------------------------------------------------------------------+
| dec  | sex   | doz  | hex | nif | occ | name                              | base                                | abbv |
| 258  | 1110  | 196  | 102 | 76  | 42  | hexunhexasept                     | hexunhexaseptimal                   | HXH  |
| 259  | 1111  | 197  | 103 | 77  | 43  | heptunnift                        | heptunniftimal                      | HTF  |
| 260  | 1112  | 198  | 104 | 78  | 44  | bakerviges                        | bakervigesimal                      | BAV  |
| 261  | 1113  | 199  | 105 | 79  | 45  | ennuntetrasept                    | ennuntetraseptimal                  | ETT  |
| 262  | 1114  | 19E  | 106 | 7A  | 46  | bindecaker's dozen                | bindecaker's dozenal                | BND  |
| 263  | 1115  | 19X  | 107 | 7B  | 47  | unbindecaker's dozen              | unbindecaker's dozenal              | UBD  |
| 264  | 1120  | 1E0  | 108 | 7C  | 48  | dozabieleven                      | dozabielevenary                     | DZB  |
| 265  | 1121  | 1E1  | 109 | 7D  | 49  | pentuntetraker's dozen            | pentuntetraker's dozenal            | PNR  |
| 266  | 1122  | 1E2  | 10A | 7E  | 4A  | biheptuntrisex                    | biheptuntriseximal                  | BHN  |
| 267  | 1123  | 1E3  | 10B | 7F  | 4B  | trinocteleven                     | trinoctelevenary                    | TIC  |
| 268  | 1124  | 1E4  | 10C | 7G  | 4C  | tetrunhexeleven                   | tetrunhexelevenary                  | TEX  |
